id,question,theme
3186,What form of Buddhism has declined to the point where few are capable of following the path?,Buddhism
3187,What does Bodhisattva mean?,Buddhism
3188,What is the term for the spontaneous wish to attain Buddhahood for the benefit of all beings?,Buddhism
3189,"What term means ""great vehicle""?",Buddhism
3190,The Astasahasrika Prajnaparamita Sutra is an important text of what type?,Buddhism
3191,What is the idea there the practitioner promises to work for the complete enlightenment of all beings by practicing the six paramitas?,Buddhism
3192,What are the six perfections under Mahayana teachings?,Buddhism
3193,Which Dalai Lama cites Shantideva's famous saying?,Buddhism
3194,Devotion is an important part of the practice of most what?,Buddhism
3195,Buddhism traditionally incorporates states of what type of absorption?,Buddhism
3196,The most acient yogic ideas is found in the early sermons of who?,Buddhism
3197,The difference between the Buddha's teaching and the yoga presented in what what type of texts is significant?,Buddhism
3198,"In Buddhism, what must be developed at all times?",Buddhism
3199,There is an idea where ethics are causally related to the attainment of what?,Buddhism
3200,What are probably the earliest texts describing meditation techniques?,Buddhism
3201,What describes meditative states exising before the Buddha?,Buddhism
3202,What two items were written after the rise of Buddhism?,Buddhism
3203,In pre-buddhist early Brahminic texts there is no evidence for what?,Buddhism
3204,The upanishads statements reflect what type of tradition?,Buddhism
3205,What contains evidence for a contemplative tradition?,Buddhism
3206,What mentions taking refuge on behalf of young or unborn children?,Buddhism
3207,What type of Buddhism adds a fourth refuge?,Buddhism
3208,The Three Jewels are preceived as possessed of an eternal and unchanging what?,Buddhism
3209,Who presented himself as a model?,Buddhism
3210,What provides refuge by preserving the authentic teachings of the Buddha?,Buddhism
3211,What is an action committed through the body and involves intentional effort?,Buddhism
3212,What keeps the cultivator from rebirth in the four realms of existance?,Buddhism
3213,Lay people tend to live by the five what?,Buddhism
3214,"Schools can undertake eight precepts, which add basic what?",Buddhism
3215,"Precepts are not created as imperatives, but as what?",Buddhism
3216,The cultivation of dana and what kind of conduct refine consciousness?,Buddhism
3217,Of the eight precepts which one is on sexual misconduct?,Buddhism
3218,What is the third strict precept on sexual misconduct?,Buddhism
3219,How many basic precepts are there for monastics?,Buddhism
3220,How many rules dows the patimokkha have?,Buddhism
3221,What are the scriptures on vinaya called?,Buddhism
3222,The rules themselves are designed to assure a satisfying what?,Buddhism
3223,Bodhisattvas are not encouraged to eat what?,Buddhism
3224,Where is the monastic vinaya displaced and clergy is allowed to marry?,Buddhism
3225,In Chinese Buddhism what meditation is more popular?,Buddhism
3226,What does the word samyaksamadhi mean?,Buddhism
3227,Meditation is the primary means of cultivating what?,Buddhism
3228,"Upon development of samadhi, a person gets rid of what?",Buddhism
3229,"Mindfulness is essential to concentration, which is neede to achieve what?",Buddhism
3230,Samatha meditation starts from being mindful of an object or what?,Buddhism
3231,What is the term for tranquility?,Buddhism
3232,"In Buddhism, samatha meditation can calm the what?",Buddhism
3233,Vipassana meditation can reveal how the mind was what?,Buddhism
3234,What is the term for insight knowledge?,Buddhism
3235,What is the term for understanding?,Buddhism
3236,What does craving carry with it?,Buddhism
3237,Deeply rooted afflictions of the mind create what?,Buddhism
3238,What is the ultimate goal for Theravadins?,Buddhism
3239,What is listed as the sixth of the six paramitas of the mahayana?,Buddhism
3240,Initially prajna is attained at a conceptual level by means of listening to what?,Buddhism
3241,In theory when can one attain Nirvana during practice?,Buddhism
3242,What can be applied to daily life once it is attained?,Buddhism
3243,Zen Buddhism is known as what in Korea?,Buddhism
3244,What form of buddhism lays special emphasis on meditation?,Buddhism
3245,What form of Buddhism places less emphasis on scriptures?,Buddhism
3246,Zen focuses on what type of breakthroughs?,Buddhism
3247,Zen Buddhism is divided into how many main schools?,Buddhism
3248,Which schools of Zen likes the use of meditation on the koan for spiritual breakthroughs?,Buddhism
3249,What Buddhist teachings are often full of paradox?,Buddhism
3250,What type of self is equated with the Buddha?,Buddhism
3251,What is not allowed to confine and bind oneself?,Buddhism
3252,What type of Buddhism is Tibeto-Mongolian based on?,Buddhism
3253,What type of Buddhism is concerned with ritual and meditative practices?,Buddhism
3254,What time period was the beginning of Buddhism?,Buddhism
3255,Scholars believe that karma originated in what?,Buddhism
3256,What groups broke with Brahmanic tradition?,Buddhism
3257,Shramanas were a continuation of what type of trand of Indian thought?,Buddhism
3258,Buddhism arose in what area?,Buddhism
3259,Movements were influenced by philosophical thought within the Vedic tradition such as what?,Buddhism
3260,What is the term for agnostics?,Buddhism
3261,What movement focused on the idea that the sould must be freed from matter?,Buddhism
3262,A criticism the Buddha gave dealing with animals was?,Buddhism
3263,The original Veda of the rishis was altered by a few Brahmins who introduced what?,Buddhism
3264,"The Buddha refused to pay respect to who, during their time of animal sacrifice?",Buddhism
3265,What is in dispute regarding the research into the core of the teachings?,Buddhism
3266,A large problem in the study of early Buddhism is the relationship of dhyana and what else?,Buddhism
3267,Liberating insight is attained after mastering what?,Buddhism
3268,"According the Bronkhorst, intentions and desire are responsible for what?",Buddhism
3269,Buddha's way to release was by means of what type of practices? ,Buddhism
3270,From which jhana did Buddha gain bodhi?,Buddhism
3271,A logic problem arises when noting that the four truths constitute what?,Buddhism
3272,What is the Sanskrit form of Nibbana?,Buddhism
3273,Many terms for Nibbana can be found throughout the what?,Buddhism
3274,The description of buddhism was broadened resulting in what path?,Buddhism
3275,Authors Bronkhorst and Anderson claim the four truths bacame a substitution for what?,Buddhism
3276,What is prajna called in english?,Buddhism
3277,Gotamas teachings may have been personal and adjusted to the need of each what?,Buddhism
3278,How many marks of existence reflect Upanishadic influences?,Buddhism
3279,What is the first period of Buddhism called?,Buddhism
3280,What is another name for Nikaya buddhism?,Buddhism
3281,What is the last period of Buddhism?,Buddhism
3282,What is Esoteric Buddhism also called?,Buddhism
3283,Gautama buddha taught what Path concept?,Buddhism
3284,Who was cousin of the Buddha?,Buddhism
3285,Some sources say that discourse of who else were recited along with Buddha's?,Buddhism
3286,The Sangha began to break into separte factions after what council?,Buddhism
3287,According to the Dipavamsa they started immediately after what council?,Buddhism
3288,The Mahasanghika places the breakup at what time?,Buddhism
3289,The major schism was between the Sthaviras and what other group?,Buddhism
3290,The Dipavamsa says that the losing party broke away in protest and formed what?,Buddhism
3291,The Mahasanghikas argued that the Sthaviras were trying to expand what?,Buddhism
3292,Monks following different schools of thought seem to have lived happily together in the same what?,Buddhism
3293,"By the latest at around 100 CE, schisms were being caused by what type of desagreements?",Buddhism
3294,What is a detailed scholastic reworking of doctrinal material called?,Buddhism
3295,The Abhidharma texts are from what time?,Buddhism
3296,Which sutras are among the earliest Mahayana sutras?,Buddhism
3297,The Prajnaparamita sutras were developed along the krsna river in what region of South India?,Buddhism
3298,Texts concerning Aksobhya Buddha were written down in what century?,Buddhism
3299,Author Warder believes that the Mahayana originated in the south of India in what area?,Buddhism
3300,The ancient buddhist site  in the lower Krsna Valley can be traced to at least what century BCE?,Buddhism
3301,Evidence suggests that many Early mahayana scriptures originated in what part of India?,Buddhism
3302,There is no evidence that Mahayana ever referred to a separate school of what?,Buddhism
3303,The mahayana never tried to have separte what?,Buddhism
3304,We know that both Mahayana and non Mahayana monks live in the same what?,Buddhism
3305,Most of the early extant evidence for the origins of Mhayana comes from what type of translations?,Buddhism
3306,Texts concerning Aksobhya Buddha were probably composed in what century BCE?,Buddhism
3307,What four types of thought developed during the period of late mahayna buddhism?,Buddhism
3308,What was the latest thought type?,Buddhism
3309,The support of Asoka and his descendants led to what being built more?,Buddhism
3310,What does stupas mean in English?,Buddhism
3311,Emissaries were sent to various countries to what direct from India?,Buddhism
3312,Scholars disagree on whether emissaries were accompanied by Buddhist what?,Buddhism
3313,What were the emissaries used for?,Buddhism
3314,The gradual spread of Buddhism exposed it to a variety of influences including what civilization?,Buddhism
3315,The Dharmagupta schol spread in what century to Kashmir?,Buddhism
3316,What two countries after China was the Mahayana sutras spread?,Buddhism
3317,China and India are now starting to fund what type of shrines in various Asian countries?,Buddhism
3318,West Buddhism is often seen as exotic and what?,Buddhism
3319,New forms of Buddhism are created because of what reason?,Buddhism
3320,When did a number of modern movement in Buddhism emerge?,Buddhism
3321,What is the Dalit buddhist movement sometimes called?,Buddhism
3322,What Buddhism emerged in the second half of the 20th century in Japan?,Buddhism
3323,What does Soka Gakkai mean in English?,Buddhism
3324,What Buddhist movement has linked more than 12 million people?,Buddhism
3325,What country has the largest population of Buddhists?,Buddhism
3326,How many Buddhists are in China?,Buddhism
3327,How many adherents does Thervada have?,Buddhism
3328,How many Buddists are outside of Asia?,Buddhism
3329,How many Buddhists are there in 2010?,Buddhism
3330,How many buddhists are in Asia?,Buddhism
3331,What does Hinayana mean in English?,Buddhism
3332,What is used by Mahayana followers to name the early schools?,Buddhism
3333,Each tradition has its own core what?,Buddhism
3334,there are common concepts to both major buddhist branches according to what organization?,Buddhism
3335,Where does the name theravada come from?,Buddhism
3336,Where is there a growing presence of Theravada?,Buddhism
3337,What was the most important Mahayana centre of learning?,Buddhism
3338,Mahayana schools recognize all or part of what?,Buddhism
3339,A few of the sutras for Mahayanists became a manifestation of who?,Buddhism
3340,Faith in and veneration of Mahayana are stated in what sutras?,Buddhism
3341,Native Mahayana buddhism is also called what?,Buddhism
3342,What is the most widely practised Eastern Buddhism?,Buddhism
3343,What work is associated with Guhyasamaja tradition?,Buddhism
3344,There is a great variety of what type of scripture?,Buddhism
3345,Some schools venerate certain texts as religious what?,Buddhism
3346,"Unlike most religions, Buddhism has no single central what?",Buddhism
3347,Tibetan Buddhists have not even translated most of the what?,Buddhism
3348,Some scholars say there is no universally accepted common what?,Buddhism
3349,What has been seen by some as a hinderance to understanding Buddhist philosophy?,Buddhism
3350,"In Sri Lanka, what was determined to be the best unifying scripture?",Buddhism
3351,There have been attempts to create a single text with all the main ideas of what religion?,Buddhism
3352,Goddard collected mainly what type of Buddhist scripture?,Buddhism
3353,Dr. Babasaheb Ambedkar attempted to create a single combined document with all Buddhist principles and called it?,Buddhism
3354,"What means ""three baskets""?",Buddhism
3355,"What does the ""three baskets"" refer to?",Buddhism
3356,What contains disciplinary rules for Buddhist Monks and nuns?,Buddhism
3357,What contains discourses ascribed to Gautama Buddha?,Buddhism
3358,What contains material ofen described as systematic expositions of the Gautama Buddha teachings?,Buddhism
3359,What is the only Tipitaka to survive intact in its original language?,Buddhism
3360,Which monk presided after the death of the Buddha?,Buddhism
3361,the vinaya was recited by?,Buddhism
3362,Who was the Buddha's personal attendant?,Buddhism
3363,Ananda was called upon to recite what?,Buddhism
3364,Much of the material in the Canon is not specifically what?,Buddhism
3365,Who may have added texts to the Canon for some time?,Buddhism
3366,What are considered the original teachings of the Buddha?,Buddhism
3367,What teaching was criticized by Nagarjuna?,Buddhism
3368,What sutras are reserved for those who follow the bodhisattva path?,Buddhism
3369,What path is described as being built upon the motivation to liberate all living beings?,Buddhism
3370,What sutras were transmitted in secret?,Buddhism
3371,What sutras could have been preserved in non-human worlds?,Buddhism
3372,What tradition says that sutras might have come from other Buddhas or Bodhisattvas?,Buddhism
3373,How many Mahayana sutras have survivied in Sanskrit or in Chinese or Tibetan translations?,Buddhism
3374,What buddhism recognizes sutras of Chinese origin?,Buddhism
3375,When did Mahayana sutras start to influence the behavior of mainstream buddhists in India?,Buddhism
3376,What was the pejorative label for those that rejected Mahayana sutras?,Buddhism
3377,What Mahayana related label is considered derogatory?,Buddhism
3378,What term was more politically correct term for the word Hinayana?,Buddhism
3379,Buddhism's emphasis on the Middle Way provides a guideline for what?,Buddhism
3380,Buddism has what kind of parallels withother systems of thought?,Buddhism
3381,Buddhism had similiar tenets to what other common religion?,Buddhism
3382,What school of thought is questioned on whether or not it is a religion?,Buddhism
3383,Who is the creator of American Idol?,American_Idol
3384,What company produces American idol?,American_Idol
3385,What British show is American Idols format based on?,American_Idol
3386,What company produces American Idol?,American_Idol
3387,What British series is American Idols format based on?,American_Idol
3388,Who produced American Idol?,American_Idol
3389,When did American Idol first air on TV?,American_Idol
3390,What British show was American Idol based on?,American_Idol
3391,What comedian was an original host on American Idol? ,American_Idol
3392,What comedian was an original host on American Idol?,American_Idol
3393,What pop singer was an original judge on American Idol?,American_Idol
3394,What actress is a judge on the most current season of American Idol?,American_Idol
3395,Which original judge was a record producer and music manager?,American_Idol
3396,Which original judge was a music executive?,American_Idol
3397,Which judge is a country music singer?,American_Idol
3398,How many Billboard hits did American Idol produce in its first ten years?,American_Idol
3399,"Who called American Idol ""the most impactful show in the history of television""?",American_Idol
3400,Who was a pop idol that started on American Idol?,American_Idol
3401,"Who said that American Idol is ""the most impactful show in the history of televsion?",American_Idol
3402,What year did FOX announce the cancellation of American Idol?,American_Idol
3403,How many consecutive years did American Idol been ranked number one in ratings?,American_Idol
3404,Who was the creator of British Series Pop Idol?,American_Idol
3405,What year did Pop Idol make its television debut?,American_Idol
3406,What show was Pop Idols based on?,American_Idol
3407,"In addition to back stories and drama, what did Fuller add to the show?",American_Idol
3408,When did Pop Idol premiere in Britain?,American_Idol
3409,For how many seasons was American Idol the most watched show in the US?,American_Idol
3410,What year did American Idol first air on FOX?,American_Idol
3411,What year did producers attempt to sell the Pop Idol format in the United States? ,American_Idol
3412,Who is the head of Fox's parent company?,American_Idol
3413,What was Pop Idol renamed to for its American debut?,American_Idol
3414,For how many seasons were the three original judges on American Idol?,American_Idol
3415,How many judges were originally intended for the show?,American_Idol
3416,"During Season two, which judge quit after a few days?",American_Idol
3417,When did American Idol change to a four-judge panel?,American_Idol
3418,Who was added as a fourth judge in the eighth season of American Idol?,American_Idol
3419,Who replaced Paula Abdul as a judge in season nine of American Idol?,American_Idol
3420,When did Paula Abdul quit as a judge?,American_Idol
3421,When did Simon Cowell announce he was no longer going to be a judge?,American_Idol
3422,Which talk show host replaced Paula Abdul?,American_Idol
3423,When did Steven Tyler become a judge?,American_Idol
3424,In what season was Lionel Richie a guest judge on American Idol?,American_Idol
3425,Which season eight contestant was a guest judge in season fourteen?,American_Idol
3426,In which season was Shania Twain a guest judge on American Idol?,American_Idol
3427,Which season of American Idol featured Katy Perry as a guest judge?,American_Idol
3428,When was Shania Twain a guest judge for auditions?,American_Idol
3429,Which host quit after the first season?,American_Idol
3430,What two things did the mentors help the contestants with?,American_Idol
3431,Who was the mentor for season 13?,American_Idol
3432,What is the upper age limit for contestants on American Idol?,American_Idol
3433,When was the age limit increased to 28?,American_Idol
3434,"Currently, contestants can not have a recording track by what stage of the competition? ",American_Idol
3435,How many auditions are there before contestants audition for the judges?,American_Idol
3436,How many contestants make it through the initial auditions in each city?,American_Idol
3437,What is the only televised portion of the preliminary audition rounds?,American_Idol
3438,Who do contestants sing for in the second round of cuts during auditions?,American_Idol
3439,Which season did not have a group round in Hollywood?,American_Idol
3440,In which seasons were contestants required to write original lyrics?,American_Idol
3441,How many Hollywood rounds were there in the first nine seasons?,American_Idol
3442,In which season were contestants separated by gender to form groups?,American_Idol
3443,How many rounds of cuts were in the Hollywood stage until season ten?,American_Idol
3444,Which seasons did contestants have to write an original lyric or melody?,American_Idol
3445,In what city did contestants perform an additional round in seasons ten and eleven?,American_Idol
3446,What was the Las Vegas round called in season twelve?,American_Idol
3447,"In which season was the ""Hollywood or Home"" round added to the competition?",American_Idol
3448,At what point does the public begin voting for contestants?,American_Idol
3449,How many votes were cast for contestants in the first season?,American_Idol
3450,How many votes were cast by season ten for all contestants?,American_Idol
3451,How many finalists were there on the first season of American Idol?,American_Idol
3452,What is the name of the round that gives failed contestants another chance?,American_Idol
3453,How were the semi-finalists split up to perform in seasons two and three?,American_Idol
3454,When did the wildcard round become a factor?,American_Idol
3455,How many finalists were chosen for season one?,American_Idol
3456,How many finalists made it to the finals for seasons two and three?,American_Idol
3457,How many semi-finalists were there in season 4?,American_Idol
3458,How were the semi-finalists divided in season four?,American_Idol
3459,How many men were in the top twelve on season five of American Idol?,American_Idol
3460,How many women were semi-finalists on season six of American Idol?,American_Idol
3461,How many wildcards were chosen by the judges in season eight?,American_Idol
3462,How many wildcard contestants were advanced in the competition in season ten?,American_Idol
3463,How many finalists were there in season eight?,American_Idol
3464,How many wildcard contestants were chosen?,American_Idol
3465,How many contestants were finalists for season 12?,American_Idol
3466,Where studio hosts the live final rounds on American Idol?,American_Idol
3467,How many weeks did the finals last in the first season?,American_Idol
3468,Where are the finals broadcast from?,American_Idol
3469,Who was a mentor for the contestants in Season 10?,American_Idol
3470,How many songs do contestants sing initially in the finals?,American_Idol
3471,When do contestants start singing two songs?,American_Idol
3472,"In what season was the ""Judges Save"" introduced to give contestants a second chance?",American_Idol
3473,How many time can the judges save be used each season?,American_Idol
3474,Which season was the Idol Gives Back episode?,American_Idol
3475,How do people vote using the fan save?,American_Idol
3476,What was introduced in season 14 to allow the fans to help save a contestant?,American_Idol
3477,How do viewers vote for a contestant using Fan Save?,American_Idol
3478,When does the Fan Save start?,American_Idol
3479,What venue was the American Idol season seven finale held at?,American_Idol
3480,How many people can attend an American Idol finale at the Dolby Theatre?,American_Idol
3481,In what episode is the winner of American Idol revealed?,American_Idol
3482,Where was the season one finale broadcast from?,American_Idol
3483,How many audience members can fit in Dolby Theatre?,American_Idol
3484,What is the capacity for Gibson Ampitheatre?,American_Idol
3485,"For seasons 7-13, the season finale was held where?",American_Idol
3486,Which company manages the winners of American Idol?,American_Idol
3487,The winner also receives a management contract with which company?,American_Idol
3488,"In season 14, the winner was signed to which company?",American_Idol
3489,Who votes for the winning contestants starting with the semi-final round?,American_Idol
3490,In which season were contestants first allowed to use musical instruments?,American_Idol
3491,Who was in charge of the American Idol band in season eleven?,American_Idol
3492,In what season did American Idol start airing on Thursday nights?,American_Idol
3493,Who led the American Idol band after Rickey Minor's departure?,American_Idol
3494,What season were contestants allowed use a musical instrument when they sing?,American_Idol
3495,What network aired the first season of American Idol?,American_Idol
3496,What year did American Idol first debut?,American_Idol
3497,Who was Ryan Seacrests co-host in the first season of American Idol?,American_Idol
3498,When did American Idol debut?,American_Idol
3499,How many people initially auditioned?,American_Idol
3500,Who was the first known homosexual contestant on American Idol?,American_Idol
3501,"How many contestants were chosen from the 10,000 that auditioned?",American_Idol
3502,Which contestant was disqualified for lying about his age?,American_Idol
3503,Who was eliminated while she was in the hospital due to chest pains?,American_Idol
3504,What year did Kelly Clarkson win?,American_Idol
3505,Who was the runner up to Kelly Clarkson?,American_Idol
3506,What month did Kelly Clarkson win?,American_Idol
3507,"Of the final two, which was an early favorite to win?",American_Idol
3508,Who won the first season of American Idol?,American_Idol
3509,When did Clarkson win the crown?,American_Idol
3510,What was the fist song released by Kelly Clarkson after winning American Idol?,American_Idol
3511,How many albums has Kelly Clarkson sold around the world?,American_Idol
3512,What song did Kelly Clarkson perform during the finale?,American_Idol
3513,What did Clarkson sing during the finale?,American_Idol
3514,What was the name of the film that the two finalists made together?,American_Idol
3515,How many worldwide album sales has Kelly Clarkson had since winning Idol?,American_Idol
3516,What year did season two of American Idol first air?,American_Idol
3517,Who was a correspondent on season two of American Idol?,American_Idol
3518,When did season two air?,American_Idol
3519,Who was a correspondent for season two?,American_Idol
3520,Which judge did Corey Clark claim to have had an affair with?,American_Idol
3521,Which contestant was removed from the competition for having been a model on an adult website?,American_Idol
3522,Which contestant had previously been arrested and charged with assault?,American_Idol
3523,Which contestant was removed from the show for modelling for an adult website?,American_Idol
3524,Which contestant was disqualified because of an assault charge?,American_Idol
3525,How many votes were cast during the final week?,American_Idol
3526,Who was the runner up on season two of American Idol?,American_Idol
3527,Who won season two?,American_Idol
3528,Who was the runner up for season two?,American_Idol
3529,How many more votes did Studdard have at the finale?,American_Idol
3530,How many votes were cast for the finale?,American_Idol
3531,What is the first song that Ruben Studdard released after winning American Idol?,American_Idol
3532,What contestant came in fourth on season two of American Idol?,American_Idol
3533,What song did Clay Aiken first release after losing American Idol?,American_Idol
3534,What was the name of Studdard's coronation song?,American_Idol
3535,What was Aiken's single release named?,American_Idol
3536,Which of the final two had more success with his first album?,American_Idol
3537,Who finished fourth on season two?,American_Idol
3538,Which contestant sold more albums than all except two from season three of American Idol?,American_Idol
3539,When did season three premiere?,American_Idol
3540,"Which contestant sang an off-key ""She Bangs""?",American_Idol
3541,Which contestant was number three in sales from season three?,American_Idol
3542,Which contestant was eliminated during the week of the top seven?,American_Idol
3543,What famous singer made claims of racism after Jennifer Hudson was eliminated from American Idol?,American_Idol
3544,"What were Fantasia Barrino, LaToya London and Jennifer Hudson called?",American_Idol
3545,Which contestant reportedly received a death threat on the show?,American_Idol
3546,Who was the runner up on the third season of American Idol?,American_Idol
3547,What was the name of the first single that Fantasia released after winning American Idol?,American_Idol
3548,What was the first song released by Diana DeGarmo after coming in second on American Idol?,American_Idol
3549,What song did Fantasia sing on the Top 8 show?,American_Idol
3550,Who has said that Barrino's rendition of Summertime has been his top moment of all seasons?,American_Idol
3551,Who were the final two contestants?,American_Idol
3552,What was Fantasia's coronation song?,American_Idol
3553,Who replaced Vasquez as a finalist?,American_Idol
3554,A former employee states he was fired after complaining about which finalist?,American_Idol
3555,During what week was there a problem with voting?,American_Idol
3556,When did the results show happen?,American_Idol
3557,What year did Carrie Underwood win American Idol?,American_Idol
3558,How many record has Carrie Underwood sold since winning American Idol?,American_Idol
3559,What was the first song released by Carrie Underwood after winning American Idol? ,American_Idol
3560,Which American Idol contestant has won the biggest number of Grammy Awards?,American_Idol
3561,When was the winner declared?,American_Idol
3562,Who was the winner of this season?,American_Idol
3563,What song did the two finalists release?,American_Idol
3564,How many records has Underwood sold in America?,American_Idol
3565,Which season of American Idol stands out for having the highest ratings?,American_Idol
3566,Which contestant did the band Fuel ask to be their new lead singer?,American_Idol
3567,Which season five contestant caused controversy with their performance of I Walk the Line?,American_Idol
3568,Which contestant was surprisingly eliminated during the week of the top four?,American_Idol
3569,Who performed a Fuel song on this season?,American_Idol
3570,Fuel asked Chris Daughtry to become what?,American_Idol
3571,Who was eliminated in the Top 4 show?,American_Idol
3572,Why did he receive criticism for I Walk the Line,American_Idol
3573,What was the name of the first song that Taylor Hicks released after winning American Idol?,American_Idol
3574,What was the first song that Katherine McPhee released after coming in second on American Idol?,American_Idol
3575,Who was the winner for this season?,American_Idol
3576,What was Hick's debut single?,American_Idol
3577,What was McPhee's first single?,American_Idol
3578,Which season five contestant has had the most success after the show?,American_Idol
3579,What year did the sixth season of American Idol first air?,American_Idol
3580,When did season six premiere?,American_Idol
3581,How many overall viewers did the first show of the season generate?,American_Idol
3582,Who was the most discussed singer in American Idols sixth season?,American_Idol
3583,What celebrity asked his fans to vote for Sanjaya Malakar on American Idol?,American_Idol
3584,What is the name of the blog that tried to rally votes for Sanjaya Malakar on American Idol?,American_Idol
3585,What season six American Idol contestant was known for his strange hairstyles?,American_Idol
3586,What was the main reason Sanjaya garnered such attention?,American_Idol
3587,Which weblog helped Sanjaya survive elimination week over and over again?,American_Idol
3588,Which shock jock urged people to vote for Sanjaya?,American_Idol
3589,When was Sanjaya eliminated? ,American_Idol
3590,What was the name of the charity event on season six of American Idol?,American_Idol
3591,What was the charity event that occurred this season?,American_Idol
3592,Which two contestants were eliminated the following week?,American_Idol
3593,Who came in second on season six of American Idol?,American_Idol
3594,When was the finale aired?,American_Idol
3595,Which contestant won the season?,American_Idol
3596,What year did season four of American Idol first air?,American_Idol
3597,In which season was Bo Bice a contestant on American Idol?,American_Idol
3598,When did season four premiere?,American_Idol
3599,Season four was the first full season to be aired in what?,American_Idol
3600,How many people auditioned to be on American Idol?,American_Idol
3601,What was the maximum age a contestant could be starting this season?,American_Idol
3602,In what year did American Idol begin a contest to decide the winners single?,American_Idol
3603,What is the first song released by Jordin Sparks after winning American Idol?,American_Idol
3604,"How was ""This is My Now"" decided as the first single for the American Idol winner in 2007?",American_Idol
3605,Which contest started during this season?,American_Idol
3606,"Of the thousands of songs entered, how many were the public able to vote for?",American_Idol
3607,What song won the contest?,American_Idol
3608,When did Sparks release her version of the song?,American_Idol
3609,What year did season seven of American Idol first air?,American_Idol
3610,Which season seven contestant had worked as a stripper before his time on American Idol?,American_Idol
3611,Which contestant was talked about most for having a record deal before being a contestant on American Idol?,American_Idol
3612,When did season seven premiere?,American_Idol
3613,Which contestant drew attention because he was a former stripper?,American_Idol
3614,Why did many of the contestants draw the attention of the media?,American_Idol
3615,Which contestant garnered the most attention because of a prior recording contract?,American_Idol
3616,Which American Idol contestant was hospitalized after singing during the week of the top nine?,American_Idol
3617,On what date did the American Idol finals begin?,American_Idol
3618,When did American Idol showcase a new set and stage?,American_Idol
3619,Who was taken to the hospital after the top nine show?,American_Idol
3620,"Which contestant sang ""Imagine"" on season seven of American Idol?",American_Idol
3621,In which season of American Idol did Jennifer Lopez become a judge?,American_Idol
3622,What song did Jason Castro receive praise for singing during the semi-finals on American Idol?,American_Idol
3623,Whose recording of Hallelujah became successful again after being performed on American Idol?,American_Idol
3624,On what digital platform were contestants performances released to after airing on American Idol?,American_Idol
3625,Which David Archuletta cover was thought to be the best of the season by many?,American_Idol
3626,Who said it Archuletta's rendition is one that she will never forget?,American_Idol
3627,Castro's performance sent which singer's version to the top of a Billboard chart?,American_Idol
3628,"For the first time, recordings of the contestant's songs could be purchased where?",American_Idol
3629,Who was the first Rock and Roll artist to win American Idol?,American_Idol
3630,When was the winner announced?,American_Idol
3631,Who was the winner?,American_Idol
3632,What was the name of the first song released by David Cook after winning American Idol?,American_Idol
3633,How was the winning single chose on season seven of American Idol?,American_Idol
3634,"What year did David Cook release the single, ""The Time of My Life""?",American_Idol
3635,When did Cook release his version of The Time of My Life?,American_Idol
3636,Which contestant from season eight suffered the loss of a spouse?,American_Idol
3637,What was Mike Darnells position at Fox in 2009?,American_Idol
3638,When did season eight premiere?,American_Idol
3639,Who was the president of alternative programming at Fox?,American_Idol
3640,How long did the Hollywood round air for in season eight of American Idol?,American_Idol
3641,What show did Nigel Lythgoe leave American Idol to produce?,American_Idol
3642,Why did American Idol choose not to have its Idol Gives Back special in 2009?,American_Idol
3643,Which judge joined the panel?,American_Idol
3644,Where was the Hollywood round moved to?,American_Idol
3645,How many finalists were there on season eight of American Idol?,American_Idol
3646,Who was the first contestant to benefit from the Judges Save?,American_Idol
3647,How many contestants were eliminated during the first week after the judges save?,American_Idol
3648,How many finalists were eliminated during the first results show?,American_Idol
3649,Which contestant was saved with the first Judges' Save?,American_Idol
3650,Who were the final two contestants on season eight of American Idol?,American_Idol
3651,Who won season eight of American Idol?,American_Idol
3652,What state is American Idol winner Kris Allen from?,American_Idol
3653,How many votes were cast in the American Idol finale in season eight?,American_Idol
3654,Who won the season?,American_Idol
3655,The only prior season to have matching controversy over the winner was?,American_Idol
3656,Who was accused of teaching the public how to power text for the winner?,American_Idol
3657,What was the name of the song that Kris Allen and Adam Lamber released after American Idol?,American_Idol
3658,"Who helped write the song ""No Boundaries""?",American_Idol
3659,Who co-wrote the coronation song?,American_Idol
3660,"Unlike every previous winner, the winner of this season failed to achieve what status?",American_Idol
3661,How many contestants from this season reached platinum album status?,American_Idol
3662,What year did season nine of American Idol first air?,American_Idol
3663,Who filled the judges spot vacated by Paula Abdul on season nine of American Idol?,American_Idol
3664,When did season nine premiere?,American_Idol
3665,Who replaced Abdul?,American_Idol
3666,When did Ellen join the judges' panel?,American_Idol
3667,Which contestant had to go to the hospital during the week of the top 20?,American_Idol
3668,Why was Crystal Bowersox in the hospital during the week of the top 20 on American Idol?,American_Idol
3669,Which contestant had Type-I diabetes?,American_Idol
3670,When was Crystal hospitalized?,American_Idol
3671,Who did Bowersox later reveal wanted her to be disqualified?,American_Idol
3672,What role does Warwick have on the show?,American_Idol
3673,Which contestant was saved by the judges in season nine of American Idol?,American_Idol
3674,Who was saved with the Judges' Save?,American_Idol
3675,Which former contestant was a mentor this season?,American_Idol
3676,Who had their final season in the show in season nine?,American_Idol
3677,Why did Paula Abdul appear on the season nine finale of American Idol?,American_Idol
3678,Who had a special tribute at the finale?,American_Idol
3679,Which former Idol star made an appearance for Cowell's tribute?,American_Idol
